Date,Open,High,Low,Close,Adj Close,Volume,Volume USD,Growth_rate_x,Index ,Monthly in Billions  ,Growth_rate_y,Trend
2020-05-31,9700.105469,9700.34375,9432.296875,9461.058594,9461.058594,27773290299.0,262765000000000.0,0,M2 Index,17850.9,1.6352117,0
2020-06-30,9185.581055,9217.835938,9084.837891,9137.993164,9137.993164,15735797744.0,143794000000000.0,-45.276577930850756,M2 Index,18142.8,0.8295301999999999,0
2020-07-31,11110.21094,11415.86426,10987.05371,11323.4668,11323.4668,23160469766.0,262257000000000.0,82.38382686342962,M2 Index,18293.3,0.3930401,1
2020-08-31,11713.30664,11768.87695,11598.31836,11680.82031,11680.82031,22285928250.0,260318000000000.0,-0.739351094537033,M2 Index,18365.2,1.2316772999999999,0
2020-09-30,10843.87109,10847.25684,10669.32129,10784.49121,10784.49121,44171073700.0,476363000000000.0,82.99272428337649,M2 Index,18591.4,0.8181202000000001,1
2020-10-31,13546.53223,14028.21387,13457.53027,13780.99512,13780.99512,30306464719.0,417653000000000.0,-12.324634784817457,M2 Index,18743.5,1.1513324999999999,0
2020-11-30,18178.32227,19749.26367,18178.32227,19625.83594,19625.83594,47728480399.0,936711000000000.0,124.2797250348974,M2 Index,18959.3,0.7278749999999999,1
2020-12-31,28841.57422,29244.87695,28201.99219,29001.7207,29001.7207,46754964848.0,1355970000000000.0,44.75862886205031,M2 Index,19097.3,1.1818425000000001,1
2021-01-31,34270.87891,34288.33203,32270.17578,33114.35938,33114.35938,52754542671.0,1746930000000000.0,28.8324962941658,M2 Index,19323,1.2254826,1
2021-02-28,46194.01563,46716.42969,43241.61719,45137.76953,45137.76953,53443887451.0,2412340000000000.0,38.090249752422814,M2 Index,19559.8,1.2244500999999999,1
2021-03-31,58930.27734,59930.02734,57726.41797,58918.83203,58918.83203,65520826225.0,3860410000000000.0,60.027608048616685,M2 Index,19799.3,1.6470279,1
2021-04-30,53568.66406,57900.71875,53129.60156,57750.17578,57750.17578,52395931985.0,3025870000000000.0,-21.61791105089874,M2 Index,20125.4,1.5130134,0
2021-05-31,35658.59375,37468.25,34241.94531,37332.85547,37332.85547,39009847639.0,1456350000000000.0,-51.87004068251445,M2 Index,20429.9,0.2124337,0
2021-06-30,35908.38672,36074.75781,34086.15234,35040.83594,35040.83594,34059036099.0,1193460000000000.0,-18.051292615099392,M2 Index,20473.3,0.7390113,0
2021-07-31,42196.30469,42231.44922,41110.83203,41626.19531,41626.19531,25802845343.0,1074070000000000.0,-10.00368675950597,M2 Index,20624.6,1.0245047,0
2021-08-31,47024.33984,48189.55078,46750.09375,47166.6875,47166.6875,34730363427.0,1638120000000000.0,52.515199195583165,M2 Index,20835.9,0.6229633,1
2021-09-30,41551.26953,44092.60156,41444.58203,43790.89453,43790.89453,31141681925.0,1363720000000000.0,-16.7509095792738,M2 Index,20965.7,0.8599760999999999,0
2021-10-31,61850.48828,62406.17188,60074.32813,61318.95703,61318.95703,32241199927.0,1977000000000000.0,44.971108438682414,M2 Index,21146,0.8233235999999999,1
2021-11-30,57830.11328,59113.40234,56057.28125,57005.42578,57005.42578,36708594618.0,2092590000000000.0,5.846737481031861,M2 Index,21320.1,0.8461499000000001,1
2021-12-31,47169.37109,48472.52734,45819.95313,46306.44531,46306.44531,36974172400.0,1712140000000000.0,-18.180818985085466,M2 Index,21500.5,0.2725518,0
2022-01-31,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465.0,797937000000000.0,-53.39534150244722,M2 Index,21559.1,0.2569681,0
2022-02-28,37706.0,43760.45703,37518.21484,43193.23438,43193.23438,35690014104.0,1541570000000000.0,93.1944501884234,M2 Index,21614.5,0.4885609,1
2022-03-31,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106.0,1517690000000000.0,-1.5490701038551657,M2 Index,21720.1,0.00874766,0
2022-04-30,38605.85938,38771.21094,37697.94141,37714.875,37714.875,23895713731.0,901224000000000.0,-40.618703424282955,M2 Index,21722,-0.145935,1
2022-05-31,31723.86523,32249.86328,31286.1543,31792.31055,31792.31055,33538210634.0,1066260000000000.0,18.312428430667627,M2 Index,21690.3,-0.1867194,0
2022-06-30,20108.3125,20141.16016,18729.65625,19784.72656,19784.72656,26267239923.0,519690000000000.0,-51.26048055821282,M2 Index,21649.8,-0.0355661,1
2022-07-31,23652.07031,24121.64258,23275.70313,23336.89648,23336.89648,23553591896.0,549668000000000.0,5.76843887702283,M2 Index,21642.1,-0.1136673,0
2022-08-31,19799.58203,20420.99023,19799.58203,20049.76367,20049.76367,33225232872.0,666158000000000.0,21.19279274034509,M2 Index,21617.5,-0.36636979999999997,0
2022-09-30,19573.43164,20109.84961,19265.66211,19431.78906,19431.78906,43975248085.0,854518000000000.0,28.275574263162785,M2 Index,21538.3,-0.3101452,0
2022-10-31,20633.69531,20795.32031,20287.45898,20495.77344,20495.77344,45668466815.0,936011000000000.0,9.53672128615195,M2 Index,21471.5,-0.3134387,0
2022-11-30,16445.47656,17190.9375,16445.47656,17168.56641,17168.56641,29523576583.0,506877000000000.0,-45.847110771134105,M2 Index,21404.2,-0.44430529999999996,1
2022-12-31,16603.67383,16628.98633,16517.51953,16547.49609,16547.49609,11239186456.0,185980000000000.0,-63.30865278953277,M2 Index,21309.1,-0.4068684,1
