Date,Open,High,Low,Close,Adj Close,Volume,USD_Volume,Growth_Rate
43069,431.214996,465.497009,401.243011,447.114014,447.114014,1903040000,8.50876E+11,49.41004015
43100,712.211975,760.348022,710.119019,756.732971,756.732971,2554269952,1.9329E+12,62.2010881
43131,1071.089966,1128.660034,1034.5,1118.310059,1118.310059,3757560064,4.20212E+12,44.73863955
43159,877.934021,890.107971,855.124023,855.198975,855.198975,1963980032,1.67959E+12,-17.51473849
43190,395.003998,418.467987,392.953003,396.457001,396.457001,1323920000,5.24877E+11,-54.54517364
43220,689.760986,694.439026,666.117004,669.924011,669.924011,2853100032,1.91136E+12,76.47831042
43251,558.497009,585.538025,557.065979,577.64502,577.64502,1985040000,1.14665E+12,-14.2467499
43281,436.209015,458.796997,436.209015,455.179993,455.179993,1475939968,6.71818E+11,-21.52651278
43312,457.244995,457.244995,430.444,433.867004,433.867004,1820680000,7.89933E+11,-4.417316574
43343,284.119995,284.550995,278.513,283.003998,283.003998,1411910000,3.99576E+11,-32.73772791
43373,231.328995,236.985992,228.445007,232.848007,232.848007,1765560000,4.11107E+11,-21.15960715
43404,197.649002,198.337997,196.531006,197.380997,197.380997,1442380000,2.84698E+11,-14.46778031
43434,117.728096,119.423767,111.744965,113.171417,113.171417,2020748396,2.28691E+11,-43.09333621
43465,140.031067,140.181152,132.519394,133.368256,133.368256,2358360234,3.1453E+11,12.41844951
43496,108.900772,110.458359,106.525352,107.061012,107.061012,2828796031,3.02854E+11,-23.97283125
43524,136.283081,138.847137,135.657593,136.746246,136.746246,4535438953,6.20204E+11,27.07603073
43555,142.139221,142.189209,140.697372,141.514099,141.514099,4249050197,6.01301E+11,3.716172319
43585,155.172775,162.432251,155.172775,162.166031,162.166031,6275803460,1.01772E+12,14.33805459
43616,256.015259,268.659943,249.111847,268.113556,268.113556,11255023515,3.01762E+12,66.71826692
43646,319.584045,322.789581,290.695984,290.695984,290.695984,10303111000,2.99507E+12,9.534872184
43677,210.492416,218.654144,210.437912,218.654144,218.654144,6003828340,1.31276E+12,-25.53694482
43708,168.887894,174.323975,167.802582,172.469788,172.469788,5830212249,1.00554E+12,-20.81583835
