Date,Open,High,Low,Close,Adj Close,Volume,Volume USD
5/12/2020,8610.385742,8949.898438,8569.643555,8804.477539,8804.477539,42142717533,3.71045E+14
5/13/2020,8805.387695,9317.878906,8805.387695,9269.987305,9269.987305,45558144023,4.22323E+14
5/14/2020,9271.329102,9793.268555,9255.035156,9733.72168,9733.72168,56426907637,5.49244E+14
5/15/2020,9734.291016,9755.828125,9261.398438,9328.197266,9328.197266,48158802327,4.49235E+14
5/16/2020,9333.240234,9564.205078,9260.694336,9377.013672,9377.013672,36164766408,3.39118E+14
5/17/2020,9374.929688,9823.001953,9349.545898,9670.739258,9670.739258,40084250663,3.87644E+14
5/18/2020,9675.695313,9906.030273,9570.359375,9726.575195,9726.575195,41827139896,4.06835E+14
5/19/2020,9727.063477,9836.047852,9539.624023,9729.038086,9729.038086,39254288955,3.81906E+14
5/20/2020,9725.329102,9804.793945,9447.201172,9522.981445,9522.981445,36546239703,3.48029E+14
5/21/2020,9522.740234,9555.242188,8869.930664,9081.761719,9081.761719,39326160532,3.57151E+14
5/22/2020,9080.334961,9232.936523,9008.638672,9182.577148,9182.577148,29810773699,2.7374E+14
5/23/2020,9185.0625,9302.501953,9118.108398,9209.287109,9209.287109,27727866812,2.55354E+14
5/24/2020,9212.283203,9288.404297,8787.250977,8790.368164,8790.368164,32518803300,2.85852E+14
5/25/2020,8786.107422,8951.005859,8719.667969,8906.93457,8906.93457,31288157264,2.78682E+14
5/26/2020,8909.585938,8991.967773,8757.293945,8835.052734,8835.052734,29584186947,2.61378E+14
5/27/2020,8837.380859,9203.320313,8834.157227,9181.017578,9181.017578,32740536902,3.00591E+14
5/28/2020,9184.945313,9546.319336,9148.457031,9525.750977,9525.750977,34367073114,3.27372E+14
5/29/2020,9528.355469,9573.666992,9379.338867,9439.124023,9439.124023,32896642044,3.10515E+14
5/30/2020,9438.914063,9704.030273,9366.729492,9700.414063,9700.414063,32722975141,3.17426E+14
5/31/2020,9700.105469,9700.34375,9432.296875,9461.058594,9461.058594,27773290299,2.62765E+14
6/1/2020,9463.605469,10199.56543,9450.899414,10167.26856,10167.26856,35198901068,3.57877E+14
6/2/2020,10162.97363,10182.34082,9460.571289,9529.803711,9529.803711,39137252109,3.7297E+14
6/3/2020,9533.760742,9682.859375,9471.84668,9656.717773,9656.717773,25007459262,2.4149E+14
6/4/2020,9655.854492,9887.610352,9525.24707,9800.636719,9800.636719,25921805072,2.5405E+14
6/5/2020,9800.21582,9869.237305,9663.216797,9665.533203,9665.533203,23509628646,2.27233E+14
6/6/2020,9664.904297,9773.431641,9591.024414,9653.679688,9653.679688,20438419222,1.97306E+14
6/7/2020,9653.00293,9768.498047,9458.150391,9758.852539,9758.852539,25015250846,2.4412E+14
6/8/2020,9760.063477,9782.306641,9675.885742,9771.489258,9771.489258,21486346312,2.09954E+14
6/9/2020,9774.360352,9836.369141,9664.719727,9795.700195,9795.700195,23717842783,2.32333E+14
6/10/2020,9794.119141,9908.896484,9728.291016,9870.094727,9870.094727,25706567601,2.53726E+14
6/11/2020,9870.078125,9938.297852,9263.069336,9321.78125,9321.78125,30247143440,2.81957E+14
6/12/2020,9320.69043,9540.46582,9285.851563,9480.84375,9480.84375,22610564515,2.14367E+14
6/13/2020,9480.735352,9493.211914,9396.009766,9475.277344,9475.277344,17564322315,1.66427E+14
6/14/2020,9477.553711,9482.270508,9347.59375,9386.788086,9386.788086,18991732746,1.78271E+14
6/15/2020,9386.035156,9504.860352,8990.175781,9450.702148,9450.702148,26699704768,2.52331E+14
6/16/2020,9454.266602,9579.430664,9400.445313,9538.024414,9538.024414,21565537209,2.05693E+14
6/17/2020,9533.78418,9540.422852,9327.339844,9480.254883,9480.254883,20177709879,1.9129E+14
6/18/2020,9481.567383,9482.782227,9328.395508,9411.84082,9411.84082,17770083003,1.67249E+14
6/19/2020,9410.293945,9440.875977,9274.295898,9288.018555,9288.018555,19632223107,1.82344E+14
6/20/2020,9290.959961,9394.97168,9247.379883,9332.34082,9332.34082,17130541557,1.59868E+14
6/21/2020,9330.926758,9401.107422,9300.430664,9303.629883,9303.629883,15324301169,1.42572E+14
6/22/2020,9300.915039,9655.073242,9296.87207,9648.717773,9648.717773,21104009514,2.03627E+14
6/23/2020,9644.076172,9670.541016,9547.24707,9629.658203,9629.658203,17006433272,1.63766E+14
6/24/2020,9632.149414,9680.367188,9278.233398,9313.610352,9313.610352,18961716076,1.76602E+14
6/25/2020,9314.126953,9340.161133,9095.324219,9264.813477,9264.813477,18616048626,1.72474E+14
6/26/2020,9260.995117,9310.516602,9101.738281,9162.917969,9162.917969,18341465837,1.68061E+14
6/27/2020,9167.824219,9207.810547,8998.216797,9045.390625,9045.390625,17273093144,1.56242E+14
6/28/2020,9048.460938,9197.546875,8975.525391,9143.582031,9143.582031,14560870760,1.33139E+14
6/29/2020,9140.029297,9237.573242,9041.875977,9190.854492,9190.854492,16460547078,1.51286E+14
6/30/2020,9185.581055,9217.835938,9084.837891,9137.993164,9137.993164,15735797744,1.43794E+14
7/1/2020,9145.985352,9309.754883,9104.735352,9228.325195,9228.325195,15971550355,1.47391E+14
7/2/2020,9231.139648,9274.962891,9036.623047,9123.410156,9123.410156,16338916796,1.49067E+14
7/3/2020,9124.842773,9202.344727,9058.794922,9087.303711,9087.303711,13078970999,1.18853E+14
