Date,NASDQ_PX_LAST
11/7/2023,13639.86
11/6/2023,13518.78
11/3/2023,13478.28
11/2/2023,13294.19
11/1/2023,13061.47
10/31/2023,12851.24
10/30/2023,12789.48
10/27/2023,12643.01
10/26/2023,12595.61
10/25/2023,12821.22
10/24/2023,13139.88
10/23/2023,13018.33
10/20/2023,12983.81
10/19/2023,13186.17
10/18/2023,13314.3
10/17/2023,13533.75
10/16/2023,13567.98
10/13/2023,13407.23
10/12/2023,13574.22
10/11/2023,13659.68
10/10/2023,13562.84
10/9/2023,13484.24
10/6/2023,13431.34
10/5/2023,13219.83
10/4/2023,13236.01
10/3/2023,13059.47
10/2/2023,13307.77
9/29/2023,13219.32
9/28/2023,13201.28
9/27/2023,13092.85
9/26/2023,13063.61
9/25/2023,13271.32
9/22/2023,13211.81
9/21/2023,13223.99
9/20/2023,13469.13
9/19/2023,13678.19
9/18/2023,13710.24
9/15/2023,13708.33
9/14/2023,13926.05
9/13/2023,13813.58
9/12/2023,13773.63
9/11/2023,13917.91
9/8/2023,13761.53
9/7/2023,13748.83
9/6/2023,13872.47
9/5/2023,14020.95
9/1/2023,14031.81
8/31/2023,14034.97
8/30/2023,14019.31
8/29/2023,13943.76
8/28/2023,13705.13
8/25/2023,13590.65
8/24/2023,13463.97
8/23/2023,13721.03
8/22/2023,13505.87
8/21/2023,13497.59
8/18/2023,13290.78
8/17/2023,13316.93
8/16/2023,13474.63
8/15/2023,13631.05
8/14/2023,13788.33
8/11/2023,13644.85
8/10/2023,13721.03
8/9/2023,13705.08
8/8/2023,13867.19
8/7/2023,13977.12
8/4/2023,13892.07
8/3/2023,13959.71
8/2/2023,13973.45
8/1/2023,14283.91
7/31/2023,14346.02
7/28/2023,14316.66
7/27/2023,14050.11
7/26/2023,14127.28
7/25/2023,14144.56
7/24/2023,14058.87
7/21/2023,14032.81
7/20/2023,14063.31
7/19/2023,14358.02
7/18/2023,14353.64
7/17/2023,14244.95
7/14/2023,14113.7
7/13/2023,14138.57
7/12/2023,13918.96
7/11/2023,13760.7
7/10/2023,13685.48
7/7/2023,13660.72
7/6/2023,13679.04
7/5/2023,13791.65
7/3/2023,13816.77
6/30/2023,13787.92
6/29/2023,13591.33
6/28/2023,13591.75
6/27/2023,13555.67
6/26/2023,13335.78
6/23/2023,13492.52
6/22/2023,13630.61
6/21/2023,13502.2
6/20/2023,13667.29
6/16/2023,13689.57
6/15/2023,13782.82
6/14/2023,13626.48
6/13/2023,13573.32
6/12/2023,13461.92
6/9/2023,13259.14
6/8/2023,13238.52
6/7/2023,13104.89
6/6/2023,13276.42
6/5/2023,13229.43
6/2/2023,13240.77
6/1/2023,13100.98
5/31/2023,12935.29
5/30/2023,13017.43
5/26/2023,12975.69
5/25/2023,12698.09
5/24/2023,12484.16
5/23/2023,12560.25
5/22/2023,12720.78
5/19/2023,12657.9
5/18/2023,12688.84
5/17/2023,12500.57
5/16/2023,12343.05
5/15/2023,12365.21
5/12/2023,12284.74
5/11/2023,12328.51
5/10/2023,12306.44
5/9/2023,12179.55
5/8/2023,12256.92
5/5/2023,12235.41
5/4/2023,11966.4
5/3/2023,12025.33
5/2/2023,12080.51
5/1/2023,12212.6
4/28/2023,12226.58
4/27/2023,12142.24
4/26/2023,11854.35
4/25/2023,11799.16
4/24/2023,12037.2
4/21/2023,12072.46
4/20/2023,12059.56
4/19/2023,12157.23
4/18/2023,12153.41
4/17/2023,12157.72
4/14/2023,12123.47
4/13/2023,12166.27
4/12/2023,11929.34
4/11/2023,12031.88
4/10/2023,12084.36
4/6/2023,12087.96
4/5/2023,11996.86
4/4/2023,12126.33
4/3/2023,12189.45
3/31/2023,12221.91
3/30/2023,12013.47
3/29/2023,11926.24
3/28/2023,11716.08
3/27/2023,11768.84
3/24/2023,11823.96
